abusive	abuse-01
waiver	thing ARG0-of( waive-01 )ARG0-of
winner	person ARG0-of( win-01 )ARG0-of
wiper	thing ARG0-of( wipe-01 )ARG0-of
worker	person ARG0-of( work-01 )ARG0-of
writer	person ARG0-of( write-01 )ARG0-of
beekeeper	person ARG0-of( keep-01 )ARG0-of ARG1( bee )ARG1
filmmaker	person ARG0-of( make-01 )ARG0-of ARG1( film )ARG1
firefighter	person ARG0-of( fight-01 )ARG0-of ARG1( fire )ARG1
lamplighter	person ARG0-of( light-04 )ARG0-of ARG1( lamp )ARG1
landowner	person ARG0-of( own-01 )ARG0-of ARG1( land )ARG1
peacekeeper	person ARG0-of( keep-01 )ARG0-of ARG1( peace )ARG1
playwright	person ARG0-of( write-01 )ARG0-of ARG1( play )ARG1
songwriter	person ARG0-of( write-01 )ARG0-of ARG1( song )ARG1
taxpayer	person ARG0-of( pay-01 )ARG0-of ARG1( tax )ARG1
watchmaker	person ARG0-of( make-01 )ARG0-of ARG1( watch )ARG1
bassist	person ARG0-of( play-11 )ARG0-of ARG2( bass )ARG2
bassoonist	person ARG0-of( play-11 )ARG0-of ARG2( bassoon )ARG2
cellist	person ARG0-of( play-11 )ARG0-of ARG2( cello )ARG2
clarinetist	person ARG0-of( play-11 )ARG0-of ARG2( clarinet )ARG2
drummer	person ARG0-of( play-11 )ARG0-of ARG2( drum )ARG2
flautist	person ARG0-of( play-11 )ARG0-of ARG2( flute )ARG2
flutist	person ARG0-of( play-11 )ARG0-of ARG2( flute )ARG2
hornist	person ARG0-of( play-11 )ARG0-of ARG2( horn )ARG2
oboist	person ARG0-of( play-11 )ARG0-of ARG2( oboe )ARG2
organist	person ARG0-of( play-11 )ARG0-of ARG2( organ )ARG2
percussionist	person ARG0-of( play-11 )ARG0-of ARG2( percussion )ARG2
pianist	person ARG0-of( play-11 )ARG0-of ARG2( piano )ARG2
trombonist	person ARG0-of( play-11 )ARG0-of ARG2( trombone )ARG2
trumpeter	person ARG0-of( play-11 )ARG0-of ARG2( trumpet )ARG2
violinist	person ARG0-of( play-11 )ARG0-of ARG2( violin )ARG2
violist	person ARG0-of( play-11 )ARG0-of ARG2( viola )ARG2
